Placette,Secteur,Trait.,Bloc,Num,Essence,Diametre_(mm)_2022_ou_2021
4,Forestville,3_ans,B,36,SABm,
4,Forestville,3_ans,B,37,SABm,
4,Forestville,3_ans,B,38,SABm,
4,Forestville,3_ans,B,39,SABm,141
4,Forestville,3_ans,B,40,SAB,126
4,Forestville,3_ans,B,41,SAB,180
4,Forestville,3_ans,B,42,SABm,101
4,Forestville,3_ans,B,43,EPB,138
4,Forestville,3_ans,B,44,SABm,
4,Forestville,3_ans,B,45,SABm,
4,Forestville,3_ans,B,46,SABm,
4,Forestville,3_ans,B,47,SABm,
4,Forestville,3_ans,B,48,SABm,
4,Forestville,3_ans,B,49,SABm,173
4,Forestville,3_ans,B,50,BOP,95
4,Forestville,3_ans,B,51,SABm,
4,Forestville,3_ans,B,52,SABm,
4,Forestville,3_ans,B,53,SABm,158
4,Forestville,3_ans,B,54,SABm,
4,Forestville,3_ans,B,55,SABm,
4,Forestville,3_ans,B,56,SAB,180
4,Forestville,3_ans,B,57,SAB,147
4,Forestville,3_ans,B,58,EPNm,123
4,Forestville,3_ans,B,59,SABm,
4,Forestville,3_ans,B,60,SABm,
4,Forestville,3_ans,B,61,SABm,
4,Forestville,3_ans,B,62,SABm,
4,Forestville,3_ans,B,63,SABm,131
4,Forestville,3_ans,B,64,SAB,176
4,Forestville,3_ans,B,65,SABm,
4,Forestville,3_ans,B,66,SABm,
4,Forestville,3_ans,B,67,SABm,
4,Forestville,3_ans,B,68,SABm,167
4,Forestville,3_ans,B,69,SAB,121
4,Forestville,3_ans,B,70,SAB,144
4,Forestville,3_ans,B,71,SAB,146
4,Forestville,3_ans,B,72,SABm,
4,Forestville,3_ans,B,73,SABm,
4,Forestville,3_ans,B,74,EPNm,
4,Forestville,3_ans,B,75,EPN,206
4,Forestville,3_ans,B,76,SABm,
4,Forestville,3_ans,B,77,EPBm,
4,Forestville,3_ans,B,78,EPB,324
4,Forestville,3_ans,B,79,SABm,136
4,Forestville,3_ans,B,80,SABm,
4,Forestville,3_ans,B,81,SABm,
4,Forestville,3_ans,B,82,SABm,
4,Forestville,3_ans,B,83,EPN,191
4,Forestville,3_ans,B,84,EPN,238
4,Forestville,3_ans,B,85,SABm,
4,Forestville,3_ans,B,86,SAB,174
4,Forestville,3_ans,B,87,EPB,173
4,Forestville,3_ans,B,88,EPN,165
4,Forestville,3_ans,B,89,SABm,
4,Forestville,3_ans,B,90,SABm,
4,Forestville,3_ans,B,91,SAB,160
4,Forestville,3_ans,B,92,SABm,
4,Forestville,3_ans,B,93,EPN,104
4,Forestville,3_ans,B,94,SAB,153
4,Forestville,3_ans,B,95,SABm,
4,Forestville,3_ans,B,96,SABm,
4,Forestville,3_ans,B,97,SABm,
4,Forestville,3_ans,B,98,SABm,
4,Forestville,3_ans,B,99,SABm,
4,Forestville,3_ans,B,100,SABm,
4,Forestville,3_ans,B,101,SABm,
4,Forestville,3_ans,B,102,SABm,
4,Forestville,3_ans,B,103,BOP,106
,,,,,,
4,Forestville,3_ans,C,1,SAB,157
4,Forestville,3_ans,C,2,SAB,121
4,Forestville,3_ans,C,3,EPBm,
4,Forestville,3_ans,C,4,SAB,139
4,Forestville,3_ans,C,5,SABm,
4,Forestville,3_ans,C,6,EPN,197
4,Forestville,3_ans,C,7,SABm,
4,Forestville,3_ans,C,8,SAB,176
4,Forestville,3_ans,C,9,SAB,140
4,Forestville,3_ans,C,10,EPN,162
4,Forestville,3_ans,C,11,EPB,228
4,Forestville,3_ans,C,12,EPB,176
4,Forestville,3_ans,C,13,SAB,113
4,Forestville,3_ans,C,14,SAB,97
4,Forestville,3_ans,C,15,BOP,177
4,Forestville,3_ans,C,16,SAB,113
4,Forestville,3_ans,C,17,EPB,283
4,Forestville,3_ans,C,18,SABm,
4,Forestville,3_ans,C,19,EPB,251
4,Forestville,3_ans,C,20,EPBm,
4,Forestville,3_ans,C,21,EPBm,
4,Forestville,3_ans,C,22,SAB,176
4,Forestville,3_ans,C,23,EPB,201
4,Forestville,3_ans,C,24,EPN,107
4,Forestville,3_ans,C,25,EPN,178
4,Forestville,3_ans,C,26,EPN,120
4,Forestville,3_ans,C,27,SABm,
4,Forestville,3_ans,C,28,EPNm,
4,Forestville,3_ans,C,29,EPN,221
4,Forestville,3_ans,C,30,EPN,131
4,Forestville,3_ans,C,31,SABm,
4,Forestville,3_ans,C,32,EPB,194
4,Forestville,3_ans,C,33,SABm,
4,Forestville,3_ans,C,34,EPBm,
4,Forestville,3_ans,C,35,SABm,
4,Forestville,3_ans,C,36,SABm,
4,Forestville,3_ans,C,37,EPN,267
4,Forestville,3_ans,C,38,EPB,145
4,Forestville,3_ans,C,39,SAB,128
4,Forestville,3_ans,C,40,SAB,106
4,Forestville,3_ans,C,41,EPN,188
4,Forestville,3_ans,C,42,EPN,212
4,Forestville,3_ans,C,43,EPN,222
4,Forestville,3_ans,C,44,EPBm,
4,Forestville,3_ans,C,45,EPN,141
4,Forestville,3_ans,C,46,SAB,105
4,Forestville,3_ans,C,47,EPN,207
4,Forestville,3_ans,C,48,EPN,143
4,Forestville,3_ans,C,49,SAB,134
4,Forestville,3_ans,C,50,SABm,
4,Forestville,3_ans,C,51,EPN,226
4,Forestville,3_ans,C,52,EPN,232
4,Forestville,3_ans,C,53,EPN,208
4,Forestville,3_ans,C,54,EPBm,
4,Forestville,3_ans,C,55,SABm,
4,Forestville,3_ans,C,56,EPN,141
4,Forestville,3_ans,C,57,EPN,217
4,Forestville,3_ans,C,58,EPBm,
4,Forestville,3_ans,C,59,SABm,142
4,Forestville,3_ans,C,60,EPN,120
4,Forestville,3_ans,C,61,SABm,136
4,Forestville,3_ans,C,62,EPN,206
4,Forestville,3_ans,C,63,EPB,150
4,Forestville,3_ans,C,64,EPN,268
4,Forestville,3_ans,C,65,EPBm,
4,Forestville,3_ans,C,66,EPN,168
4,Forestville,3_ans,C,67,EPN,157
4,Forestville,3_ans,C,68,EPN,127
4,Forestville,3_ans,C,69,SABm,109
4,Forestville,3_ans,C,70,EPB,146
4,Forestville,3_ans,C,71,SABm,111
4,Forestville,3_ans,C,72,SAB,148
4,Forestville,3_ans,C,73,EPN,133
4,Forestville,3_ans,C,74,SABm,
4,Forestville,3_ans,C,75,SABm,
4,Forestville,3_ans,C,76,SABm,
4,Forestville,3_ans,C,77,SAB,113
4,Forestville,3_ans,C,78,SAB,199
4,Forestville,3_ans,C,79,SAB,135
4,Forestville,3_ans,C,80,SAB,198
4,Forestville,3_ans,C,81,SABm,
4,Forestville,3_ans,C,82,SAB,136
4,Forestville,3_ans,C,83,SAB,219
4,Forestville,3_ans,C,84,SABm,
4,Forestville,3_ans,C,85,SABm,
4,Forestville,3_ans,C,86,SABm,
4,Forestville,3_ans,C,87,SAB,146
4,Forestville,3_ans,C,88,SAB,205
4,Forestville,3_ans,C,89,EPN,256
4,Forestville,3_ans,C,90,EPB,279
4,Forestville,3_ans,C,91,EPB,214
4,Forestville,3_ans,C,92,SABm,
4,Forestville,3_ans,C,93,SABm,
4,Forestville,3_ans,C,94,SABm,
4,Forestville,3_ans,C,95,SAB,179
4,Forestville,3_ans,C,96,SABm,179
4,Forestville,3_ans,C,97,SABm,
4,Forestville,3_ans,C,98,SABm,
4,Forestville,3_ans,C,99,SAB,188
4,Forestville,3_ans,C,100,SAB,175
4,Forestville,3_ans,C,101,BOP,113
4,Forestville,3_ans,C,102,SABm,
4,Forestville,3_ans,C,103,SABm,
4,Forestville,3_ans,C,104,SABm,
4,Forestville,3_ans,C,105,SAB,98
4,Forestville,3_ans,C,106,SABm,
4,Forestville,3_ans,C,107,SABm,
4,Forestville,3_ans,C,108,SAB,93
4,Forestville,3_ans,C,109,SABm,
4,Forestville,3_ans,C,110,SABm,
,,,,,,
7,Forestville,2_ans,A,1,EPB,205
7,Forestville,2_ans,A,2,SAB,214
7,Forestville,2_ans,A,3,SAB,180
7,Forestville,2_ans,A,4,EPBm,
7,Forestville,2_ans,A,5,EPN,163
7,Forestville,2_ans,A,6,BOJ,195
7,Forestville,2_ans,A,7,SAB,114
7,Forestville,2_ans,A,8,SABm,
7,Forestville,2_ans,A,9,EPB,256
7,Forestville,2_ans,A,10,SABm,
7,Forestville,2_ans,A,11,SAB,110
7,Forestville,2_ans,A,12,EPBm,
7,Forestville,2_ans,A,13,SAB,172
7,Forestville,2_ans,A,14,SAB,128
7,Forestville,2_ans,A,15,EPB,126
7,Forestville,2_ans,A,16,SAB,125
7,Forestville,2_ans,A,17,EPN,186
7,Forestville,2_ans,A,18,SAB,173
7,Forestville,2_ans,A,19,EPB,254
7,Forestville,2_ans,A,20,BOJ,442
7,Forestville,2_ans,A,21,EPN,100
7,Forestville,2_ans,A,22,SAB,244
7,Forestville,2_ans,A,23,SAB,140
7,Forestville,2_ans,A,24,SAB,153
7,Forestville,2_ans,A,25,EPBm,
7,Forestville,2_ans,A,26,SAB,216
7,Forestville,2_ans,A,27,EPN,225
7,Forestville,2_ans,A,28,SAB,162
7,Forestville,2_ans,A,29,EPN,263
7,Forestville,2_ans,A,30,SABm,
7,Forestville,2_ans,A,31,EPB,356
7,Forestville,2_ans,A,32,SAB,172
7,Forestville,2_ans,A,33,SABm,
7,Forestville,2_ans,A,34,SAB,160
7,Forestville,2_ans,A,35,SABm,
7,Forestville,2_ans,A,36,SAB,98
7,Forestville,2_ans,A,37,SAB,220
7,Forestville,2_ans,A,38,SAB,99
7,Forestville,2_ans,A,39,BOJ,339
7,Forestville,2_ans,A,40,SAB,190
7,Forestville,2_ans,A,41,EPB,284
7,Forestville,2_ans,A,42,SABm,
7,Forestville,2_ans,A,43,EPB,147
7,Forestville,2_ans,A,44,SAB,148
7,Forestville,2_ans,A,45,SABm,
7,Forestville,2_ans,A,46,SABm,133
7,Forestville,2_ans,A,47,SAB,166
7,Forestville,2_ans,A,48,EPB,160
7,Forestville,2_ans,A,49,SAB,162
7,Forestville,2_ans,A,50,SABm,
7,Forestville,2_ans,A,51,SAB,191
7,Forestville,2_ans,A,52,SABm,
7,Forestville,2_ans,A,53,EPB,209
7,Forestville,2_ans,A,54,SAB,241
7,Forestville,2_ans,A,55,EPBm,118
7,Forestville,2_ans,A,56,EPB,133
7,Forestville,2_ans,A,57,EPB,149
7,Forestville,2_ans,A,58,SAB,149
7,Forestville,2_ans,A,59,SABm,
7,Forestville,2_ans,A,60,SAB,196
7,Forestville,2_ans,A,61,SABm,
7,Forestville,2_ans,A,62,SAB,205
7,Forestville,2_ans,A,63,SAB,191
7,Forestville,2_ans,A,64,SAB,172
7,Forestville,2_ans,A,65,SAB,129
7,Forestville,2_ans,A,66,EPB,174
7,Forestville,2_ans,A,67,SAB,167
7,Forestville,2_ans,A,68,SAB,165
7,Forestville,2_ans,A,69,SAB,180
7,Forestville,2_ans,A,70,EPB,247
7,Forestville,2_ans,A,71,SAB,200
7,Forestville,2_ans,A,72,SABm,
7,Forestville,2_ans,A,73,SAB,192
7,Forestville,2_ans,A,74,EPN,258
7,Forestville,2_ans,A,75,EPB,330
7,Forestville,2_ans,A,76,SAB,102
7,Forestville,2_ans,A,77,SABm,
,,,,,,
7,Forestville,2_ans,B,1,SAB,220
7,Forestville,2_ans,B,2,SABm,116
7,Forestville,2_ans,B,3,SAB,212
7,Forestville,2_ans,B,4,SABm,
7,Forestville,2_ans,B,5,SAB,124
7,Forestville,2_ans,B,6,SAB,111
7,Forestville,2_ans,B,7,EPN,289
7,Forestville,2_ans,B,8,SAB,162
7,Forestville,2_ans,B,9,EPN,122
7,Forestville,2_ans,B,10,SAB,103
7,Forestville,2_ans,B,11,EPNm,
7,Forestville,2_ans,B,12,SABm,
7,Forestville,2_ans,B,13,SAB,120
7,Forestville,2_ans,B,14,SAB,164
7,Forestville,2_ans,B,15,SAB,153
7,Forestville,2_ans,B,16,SAB,110
7,Forestville,2_ans,B,17,SAB,137
7,Forestville,2_ans,B,18,SAB,109
7,Forestville,2_ans,B,19,BOP,105
7,Forestville,2_ans,B,20,EPN,229
7,Forestville,2_ans,B,21,SAB,140
7,Forestville,2_ans,B,22,SAB,147
7,Forestville,2_ans,B,23,SAB,109
7,Forestville,2_ans,B,24,EPB,163
7,Forestville,2_ans,B,25,SABm,
7,Forestville,2_ans,B,26,SAB,139
7,Forestville,2_ans,B,27,SAB,138
7,Forestville,2_ans,B,28,SAB,208
7,Forestville,2_ans,B,29,EPN,185
7,Forestville,2_ans,B,30,EPB,174
7,Forestville,2_ans,B,31,EPB,217
7,Forestville,2_ans,B,32,EPN,98
7,Forestville,2_ans,B,33,SAB,138
7,Forestville,2_ans,B,34,EPN,181
7,Forestville,2_ans,B,35,SAB,155
7,Forestville,2_ans,B,36,SAB,179
7,Forestville,2_ans,B,37,EPN,110
7,Forestville,2_ans,B,38,SAB,135
7,Forestville,2_ans,B,39,SAB,163
7,Forestville,2_ans,B,40,BOP,114
7,Forestville,2_ans,B,41,BOP,141
7,Forestville,2_ans,B,42,BOP,115
7,Forestville,2_ans,B,43,SAB,155
7,Forestville,2_ans,B,44,SABm,chablis
7,Forestville,2_ans,B,45,EPBm,135
7,Forestville,2_ans,B,46,SAB,153
7,Forestville,2_ans,B,47,SAB,110
7,Forestville,2_ans,B,48,SABm,
7,Forestville,2_ans,B,49,BOP,114
7,Forestville,2_ans,B,50,EPB,230
7,Forestville,2_ans,B,51,SAB,228
7,Forestville,2_ans,B,52,SABm,
7,Forestville,2_ans,B,53,SAB,120
7,Forestville,2_ans,B,54,SAB,124
7,Forestville,2_ans,B,55,SAB,116
7,Forestville,2_ans,B,56,SAB,185
7,Forestville,2_ans,B,57,EPBm,
7,Forestville,2_ans,B,58,EPB,221
7,Forestville,2_ans,B,59,EPN,210
7,Forestville,2_ans,B,60,EPN,145
7,Forestville,2_ans,B,61,EPN,200
7,Forestville,2_ans,B,62,SAB,185
7,Forestville,2_ans,B,63,BOP,115
7,Forestville,2_ans,B,64,EPN,185
7,Forestville,2_ans,B,65,EPN,163
7,Forestville,2_ans,B,66,EPN,205
7,Forestville,2_ans,B,67,SAB,100
7,Forestville,2_ans,B,68,SABm,
7,Forestville,2_ans,B,69,EPB,142
7,Forestville,2_ans,B,70,SAB,147
7,Forestville,2_ans,B,71,SAB,194
7,Forestville,2_ans,B,72,SAB,208
7,Forestville,2_ans,B,73,SAB,219
7,Forestville,2_ans,B,74,SAB,162
7,Forestville,2_ans,B,75,SAB,207
7,Forestville,2_ans,B,76,SAB,163
7,Forestville,2_ans,B,77,EPB,199
7,Forestville,2_ans,B,78,SABm,95
7,Forestville,2_ans,B,79,SAB,198
7,Forestville,2_ans,B,80,SAB,237
7,Forestville,2_ans,B,81,SAB,104
7,Forestville,2_ans,B,82,EPN,139
7,Forestville,2_ans,B,83,EPN,167
7,Forestville,2_ans,B,84,EPBm,
7,Forestville,2_ans,B,85,EPB,161
7,Forestville,2_ans,B,86,SAB,119
7,Forestville,2_ans,B,87,BOP,111
7,Forestville,2_ans,B,88,BOP,101
7,Forestville,2_ans,B,89,SABm,
7,Forestville,2_ans,B,90,SAB,97
,,,,,,
7,Forestville,2_ans,C,1,SAB,175
7,Forestville,2_ans,C,2,EPBm,
7,Forestville,2_ans,C,3,EPB,270
7,Forestville,2_ans,C,4,SAB,100
7,Forestville,2_ans,C,5,EPN,238
7,Forestville,2_ans,C,6,SAB,109
7,Forestville,2_ans,C,7,SABm,
7,Forestville,2_ans,C,8,SAB,231
7,Forestville,2_ans,C,9,EPB,278
7,Forestville,2_ans,C,10,SABm,
7,Forestville,2_ans,C,11,SAB,219
7,Forestville,2_ans,C,12,EPB,346
7,Forestville,2_ans,C,13,BOP,179
7,Forestville,2_ans,C,14,EPN,210
7,Forestville,2_ans,C,15,SABm,
7,Forestville,2_ans,C,16,SAB,141
7,Forestville,2_ans,C,17,SAB,172
7,Forestville,2_ans,C,18,SABm,
7,Forestville,2_ans,C,19,SAB,245
7,Forestville,2_ans,C,20,SABm,
7,Forestville,2_ans,C,21,SABm,205
7,Forestville,2_ans,C,22,EPN,291
7,Forestville,2_ans,C,23,EPB,273
7,Forestville,2_ans,C,24,SABm,
7,Forestville,2_ans,C,25,SAB,105
7,Forestville,2_ans,C,26,BOP,156
7,Forestville,2_ans,C,27,BOP,115
7,Forestville,2_ans,C,28,SABm,
7,Forestville,2_ans,C,29,EPN,234
7,Forestville,2_ans,C,30,SAB,102
7,Forestville,2_ans,C,31,SABm,117
7,Forestville,2_ans,C,32,SABm,226
7,Forestville,2_ans,C,33,SAB,141
7,Forestville,2_ans,C,34,SAB,208
7,Forestville,2_ans,C,35,SAB,149
7,Forestville,2_ans,C,36,SABm,chablis
7,Forestville,2_ans,C,37,EPN,226
7,Forestville,2_ans,C,38,SABm,
7,Forestville,2_ans,C,39,SAB,107
7,Forestville,2_ans,C,40,SABm,chablis
7,Forestville,2_ans,C,41,SAB,185
7,Forestville,2_ans,C,42,SAB,181
7,Forestville,2_ans,C,43,SAB,136
7,Forestville,2_ans,C,44,SAB,227
7,Forestville,2_ans,C,45,SAB,129
7,Forestville,2_ans,C,46,SABm,chablis
7,Forestville,2_ans,C,47,EPN,253
7,Forestville,2_ans,C,48,SAB,156
7,Forestville,2_ans,C,49,EPB,241
7,Forestville,2_ans,C,50,SABm,chablis
7,Forestville,2_ans,C,51,EPNm,184
7,Forestville,2_ans,C,52,EPNm,
7,Forestville,2_ans,C,53,EPN,125
7,Forestville,2_ans,C,54,EPN,133
7,Forestville,2_ans,C,55,EPN,230
7,Forestville,2_ans,C,56,EPNm,
7,Forestville,2_ans,C,57,EPN,107
7,Forestville,2_ans,C,58,EPN,185
7,Forestville,2_ans,C,59,EPNm,
7,Forestville,2_ans,C,60,EPN,214
7,Forestville,2_ans,C,61,SAB,114
7,Forestville,2_ans,C,62,SAB,130
7,Forestville,2_ans,C,63,SAB,269
7,Forestville,2_ans,C,64,SAB,113
7,Forestville,2_ans,C,65,SABm,153
7,Forestville,2_ans,C,66,EPN,261
7,Forestville,2_ans,C,67,SAB,202
7,Forestville,2_ans,C,68,SABm,128
7,Forestville,2_ans,C,69,SAB,196
7,Forestville,2_ans,C,70,BOP,163
7,Forestville,2_ans,C,71,EPB,273
7,Forestville,2_ans,C,72,SAB,97
7,Forestville,2_ans,C,73,SAB,92
7,Forestville,2_ans,C,74,SAB,96
7,Forestville,2_ans,C,75,SAB,95
,,,,,,
19,Forestville,Intensif,A,1,SAB,178
19,Forestville,Intensif,A,2,SAB,230
19,Forestville,Intensif,A,3,SAB,181
19,Forestville,Intensif,A,4,SABm,
19,Forestville,Intensif,A,5,SAB,151
19,Forestville,Intensif,A,6,SAB,182
19,Forestville,Intensif,A,7,SAB,102
19,Forestville,Intensif,A,8,SAB,192
19,Forestville,Intensif,A,9,SAB,133
19,Forestville,Intensif,A,10,SAB,134
19,Forestville,Intensif,A,11,EPB,182
19,Forestville,Intensif,A,12,SAB,112
19,Forestville,Intensif,A,13,SAB,127
19,Forestville,Intensif,A,14,SAB,190
19,Forestville,Intensif,A,15,EPB,226
19,Forestville,Intensif,A,16,SABm,
19,Forestville,Intensif,A,17,SABm,
19,Forestville,Intensif,A,18,SAB,169
19,Forestville,Intensif,A,19,SABm,
19,Forestville,Intensif,A,20,SABm,
19,Forestville,Intensif,A,21,EPB,244
19,Forestville,Intensif,A,22,SABm,
19,Forestville,Intensif,A,23,SAB,127
19,Forestville,Intensif,A,24,SAB,126
19,Forestville,Intensif,A,25,SABm,
19,Forestville,Intensif,A,26,SAB,105
19,Forestville,Intensif,A,27,BOP,129
19,Forestville,Intensif,A,28,SAB,181
19,Forestville,Intensif,A,29,SABm,
19,Forestville,Intensif,A,30,SAB,163
19,Forestville,Intensif,A,31,SAB,156
19,Forestville,Intensif,A,32,SAB,113
19,Forestville,Intensif,A,33,SAB,132
19,Forestville,Intensif,A,34,SAB,165
19,Forestville,Intensif,A,35,SAB,155
19,Forestville,Intensif,A,36,SAB,135
19,Forestville,Intensif,A,37,SAB,157
19,Forestville,Intensif,A,38,SABm,100
19,Forestville,Intensif,A,39,SAB,167
19,Forestville,Intensif,A,40,SAB,169
19,Forestville,Intensif,A,41,SAB,118
19,Forestville,Intensif,A,42,SAB,200
19,Forestville,Intensif,A,43,SAB,115
19,Forestville,Intensif,A,44,SAB,99
19,Forestville,Intensif,A,45,EPB,177
19,Forestville,Intensif,A,46,SAB,157
19,Forestville,Intensif,A,47,SAB,223
19,Forestville,Intensif,A,48,SAB,211
19,Forestville,Intensif,A,49,SAB,206
19,Forestville,Intensif,A,50,EPB,279
19,Forestville,Intensif,A,51,SAB,116
19,Forestville,Intensif,A,52,EPB,183
19,Forestville,Intensif,A,53,EPB,264
19,Forestville,Intensif,A,54,EPB,238
19,Forestville,Intensif,A,55,SAB,180
19,Forestville,Intensif,A,56,EPB,169
19,Forestville,Intensif,A,57,SAB,207
19,Forestville,Intensif,A,58,EPN,231
