Date_(AA-MM-JJ),Trait.,Placette,Bloc,Arbre,Num,Localisation,Evernia_sp.,Usnea_sp.,Bryoria_sp.
9 juin 2022,Aucun,50,A,Ab1,28,SE2,,1.19,
9 juin 2022,Aucun,50,A,Ab2,58,NW2,,1,0.04
9 juin 2022,Aucun,50,A,P1,17,E3,0.13,0.5,
9 juin 2022,Aucun,50,A,P2,16,NE7,,0.2,
9 juin 2022,Aucun,50,B,Ab1,1,NE2,0.07,1,
9 juin 2022,Aucun,50,B,Ab2,101,N3,,1.99,
9 juin 2022,Aucun,50,B,P1,58,S1,,0.5,0.03
9 juin 2022,Aucun,50,B,P2,35,SE6,,0.1,
9 juin 2022,Aucun,50,C,Ab1,8,SE1,,4.48,
9 juin 2022,Aucun,50,C,Ab2,54,W2,,5.97,
9 juin 2022,Aucun,50,C,P1,79,SE2,,0.1,
9 juin 2022,Aucun,50,C,P2,70,N4,,2.49,0.15
22 juin 2022,Standard,52,A,Ab1,20,E5,,4.98,
22 juin 2022,Standard,52,A,Ab2,58,S5,,1.99,
22 juin 2022,Standard,52,A,P1,72,O10,,1,0.01
22 juin 2022,Standard,52,A,P2,83,O10,0.66,9.96,
22 juin 2022,Standard,52,B,Ab1,16,E5,0.33,1.99,
22 juin 2022,Standard,52,B,Ab2,31,S2,,0.1,0.15
22 juin 2022,Standard,52,B,P1,28,S3,,0.1,0.01
22 juin 2022,Standard,52,B,P2,29,S4,,0.1,
22 juin 2022,Standard,52,C,Ab1,65,N4,,0.2,
22 juin 2022,Standard,52,C,Ab2,52,6,,0.5,
22 juin 2022,Standard,52,C,P1,49,14,,0.1,
22 juin 2022,Standard,52,C,P2,1,N/A,,,
11 juin 2022,3_ans,67,A,Ab1,65,W2,,6.97,0.52
11 juin 2022,3_ans,67,A,Ab2,33,S2,,3.98,0.37
11 juin 2022,3_ans,67,A,P1,32,SE5,,1,1.05
11 juin 2022,3_ans,67,A,P2,16,E4,,1.99,0.75
11 juin 2022,3_ans,67,B,Ab1,1,NE2,,0.4,
11 juin 2022,3_ans,67,B,Ab2,33,S2,,0.2,0.01
11 juin 2022,3_ans,67,B,P1,54,W4,,0.1,
11 juin 2022,3_ans,67,B,P2,43,SW5,,0.05,
11 juin 2022,3_ans,67,C,Ab1,39,W2,,8.96,2.24
11 juin 2022,3_ans,67,C,Ab2,28,S3,0.07,11.95,0.9
11 juin 2022,3_ans,67,C,P1,30,S8,,0.1,1.05
11 juin 2022,3_ans,67,C,P2,15,E9,0.13,1,0.6
