Date_(AA-MM-JJ),Trait.,Placette,Bloc,Micro.plac.,PAI
22 juin 2022,Standard,52,C,E6,2.95
22 juin 2022,Standard,52,C,N6,3.75
22 juin 2022,Standard,52,C,O6,2.84
22 juin 2022,Standard,52,C,S6,2.72
11 juin 2022,3_ans,67,A,E6,2.34
11 juin 2022,3_ans,67,A,N6,2.51
11 juin 2022,3_ans,67,A,O6,2.48
11 juin 2022,3_ans,67,A,S6,2.59
11 juin 2022,3_ans,67,B,E6,2.63
11 juin 2022,3_ans,67,B,N6,2.68
11 juin 2022,3_ans,67,B,O6,2.65
11 juin 2022,3_ans,67,B,S6,2.64
11 juin 2022,3_ans,67,C,E6,2.56
11 juin 2022,3_ans,67,C,N6,3.25
11 juin 2022,3_ans,67,C,O6,2.87
11 juin 2022,3_ans,67,C,S6,1.78
11 juin 2022,3_ans,69,A,E6,2.97
11 juin 2022,3_ans,69,A,N6,3.16
11 juin 2022,3_ans,69,A,O6,3.08
11 juin 2022,3_ans,69,A,S6,3.33
11 juin 2022,3_ans,69,B,E6,3.24
11 juin 2022,3_ans,69,B,N6,2.97
11 juin 2022,3_ans,69,B,O6,3.02
11 juin 2022,3_ans,69,B,S6,2.47
11 juin 2022,3_ans,69,C,E6,2.75
11 juin 2022,3_ans,69,C,N6,2.31
11 juin 2022,3_ans,69,C,O6,2.52
11 juin 2022,3_ans,69,C,S6,2.25
22 juin 2022,2_ans,74,A,E6,2.56
22 juin 2022,2_ans,74,A,N6,2.93
22 juin 2022,2_ans,74,A,O6,2.74
22 juin 2022,2_ans,74,A,S6,2.81
6 juin 2022,2_ans,74,B,E6,3.16
6 juin 2022,2_ans,74,B,N6,3.08
6 juin 2022,2_ans,74,B,O6,3.22
6 juin 2022,2_ans,74,B,S6,3.44
6 juin 2022,2_ans,74,C,E6,2.96
6 juin 2022,2_ans,74,C,N6,3.37
6 juin 2022,2_ans,74,C,O6,3.64
6 juin 2022,2_ans,74,C,S6,4.42
7 juin 2022,Aucun,87,A,E6,2.03
7 juin 2022,Aucun,87,A,N6,2.67
7 juin 2022,Aucun,87,A,O6,1.96
7 juin 2022,Aucun,87,A,S6,2.87
7 juin 2022,Aucun,87,B,E6,2.21
7 juin 2022,Aucun,87,B,N6,2.04
7 juin 2022,Aucun,87,B,O6,2.33
7 juin 2022,Aucun,87,B,S6,2.25
7 juin 2022,Aucun,87,C,E6,2.11
7 juin 2022,Aucun,87,C,N6,1.42
7 juin 2022,Aucun,87,C,O6,2.18
7 juin 2022,Aucun,87,C,S6,1.88
7 juin 2022,Aucun,93,A,E6,1.22
7 juin 2022,Aucun,93,A,N6,0.92
7 juin 2022,Aucun,93,A,O6,0.72
7 juin 2022,Aucun,93,A,S6,0.87
7 juin 2022,Aucun,93,B,E6,1.41
7 juin 2022,Aucun,93,B,N6,1.02
7 juin 2022,Aucun,93,B,O6,0.83
7 juin 2022,Aucun,93,B,S6,1.37
7 juin 2022,Aucun,93,C,E6,1.16
7 juin 2022,Aucun,93,C,N6,1.49
7 juin 2022,Aucun,93,C,O6,1.5
7 juin 2022,Aucun,93,C,S6,1.45
23 juin 2022,2_ans,106,A,E6,3.05
23 juin 2022,2_ans,106,A,N6,3.1
23 juin 2022,2_ans,106,A,O6,3.03
23 juin 2022,2_ans,106,A,S6,2.52
23 juin 2022,2_ans,106,B,E6,2.61
23 juin 2022,2_ans,106,B,N6,2.96
23 juin 2022,2_ans,106,B,O6,3.08
23 juin 2022,2_ans,106,B,S6,2.68
23 juin 2022,2_ans,106,C,E6,3.21
23 juin 2022,2_ans,106,C,N6,2.73
23 juin 2022,2_ans,106,C,O6,2.56
23 juin 2022,2_ans,106,C,S6,2.78
23 juin 2022,Intensif,119,A,E6,3.4
23 juin 2022,Intensif,119,A,N6,3.96
23 juin 2022,Intensif,119,A,O6,3.65
23 juin 2022,Intensif,119,A,S6,3.89
23 juin 2022,Intensif,119,B,E6,3.7
23 juin 2022,Intensif,119,B,N6,3.57
23 juin 2022,Intensif,119,B,O6,3.83
23 juin 2022,Intensif,119,B,S6,3.94
23 juin 2022,Intensif,119,C,E6,3.8
23 juin 2022,Intensif,119,C,N6,3.7
23 juin 2022,Intensif,119,C,O6,3.33
23 juin 2022,Intensif,119,C,S6,3.6
